
Project Reference(s) Analysis...

References:
 | Reference                                             | Version | License Type | License                                                  | 
 | System.Collections.Concurrent                         | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.ComponentModel                                 | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.ComponentModel.Annotations                     | 5.0.0   | MIT          | https://licenses.nuget.org/MIT                           | 
 | System.Console                                        | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Diagnostics.Contracts                          | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Diagnostics.Debug                              | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Diagnostics.DiagnosticSource                   | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Diagnostics.DiagnosticSource                   | 7.0.0   | MIT          | https://licenses.nuget.org/MIT                           | 
 | System.Diagnostics.DiagnosticSource                   | 6.0.0   | MIT          | https://licenses.nuget.org/MIT                           | 
 | System.Diagnostics.Tools                              | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Diagnostics.Tracing                            | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Globalization                                  | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Globalization.Calendars                        | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Globalization.Extensions                       | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.IO                                             | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.IO.Compression                                 | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.IO.Compression.ZipFile                         | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.IO.FileSystem                                  | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.IO.FileSystem.Primitives                       | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Linq                                           | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Linq.Expressions                               | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Memory                                         | 4.5.5   | MIT          | https://github.com/dotnet/corefx/blob/master/LICENSE.TXT | 
 | System.Memory                                         | 4.5.4   | MIT          | https://github.com/dotnet/corefx/blob/master/LICENSE.TXT | 
 | System.Net.Http                                       | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Net.Primitives                                 | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Net.Sockets                                    | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Numerics.Vectors                               | 4.5.0   | MIT          | https://github.com/dotnet/corefx/blob/master/LICENSE.TXT | 
 | System.Numerics.Vectors                               | 4.4.0   | MIT          | https://github.com/dotnet/corefx/blob/master/LICENSE.TXT | 
 | System.ObjectModel                                    | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Reflection                                     | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Reflection.Emit                                | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Reflection.Emit.ILGeneration                   | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Reflection.Emit.Lightweight                    | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Reflection.Extensions                          | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Reflection.Primitives                          | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Reflection.TypeExtensions                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Resources.ResourceManager                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Runtime                                        | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Runtime.CompilerServices.Unsafe                | 6.0.0   | MIT          | https://licenses.nuget.org/MIT                           | 
 | System.Runtime.Extensions                             | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Runtime.Handles                                | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Runtime.InteropServices                        | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Runtime.InteropServices.RuntimeInformation     | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Runtime.Numerics                               | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Runtime.WindowsRuntime                         | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Security.Cryptography.Algorithms               | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Security.Cryptography.Cng                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Security.Cryptography.Csp                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Security.Cryptography.Encoding                 | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Security.Cryptography.OpenSsl                  | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Security.Cryptography.Primitives               | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Security.Cryptography.X509Certificates         | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Text.Encoding                                  | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Text.Encoding.Extensions                       | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Text.Encodings.Web                             | 7.0.0   | MIT          | https://licenses.nuget.org/MIT                           | 
 | System.Text.Json                                      | 7.0.0   | MIT          | https://licenses.nuget.org/MIT                           | 
 | System.Text.RegularExpressions                        | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Threading                                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Threading.Tasks                                | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Threading.Tasks.Extensions                     | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Threading.Tasks.Extensions                     | 4.5.4   | MIT          | https://github.com/dotnet/corefx/blob/master/LICENSE.TXT | 
 | System.Threading.Timer                                | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.ValueTuple                                     | 4.5.0   | MIT          | https://github.com/dotnet/corefx/blob/master/LICENSE.TXT | 
 | System.Xml.ReaderWriter                               | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 
 | System.Xml.XDocument                                  | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770            | 

